Ref,Val,Package,PosX,PosY,Rot,Side
"C1","510pF","SMD-0805",9.0170,15.6845,90.0000,bottom
"C2","470pF","SMD-0805",6.8580,15.6845,90.0000,bottom
"C3","10uF","SMD-0805",13.2080,11.6205,90.0000,bottom
"C4","1uF","SMD-0805",14.2875,21.5900,0.0000,bottom
"C5","10uF/10V","SMD-0805",22.4790,10.6045,180.0000,bottom
"C6","100nF","SMD-0805",22.4790,8.3820,180.0000,bottom
"D1","M4","Diode-MELF_Standard",28.2448,10.9855,180.0000,bottom
"L1","MA55532-AE","Coilcraft_MA5532-AE_RFID",3.2385,15.2400,-90.0000,bottom
"R1","10k","SMD-0805",17.4625,8.2550,0.0000,bottom
"R2","10k","SMD-0805",11.1760,15.6210,90.0000,bottom
"R3","0R","SMD-0805",13.8430,5.0800,-90.0000,bottom
"R4","-","SMD-0805",11.4935,5.0165,90.0000,bottom
"R5","10k","SMD-0805",18.8595,23.1140,180.0000,bottom
"R6","-","SMD-0805",23.4315,16.5988,0.0000,bottom
"R7","0R","SMD-0805",23.4315,13.9700,180.0000,bottom
"R8","0R","SMD-0805",25.9080,20.8915,-90.0000,bottom
"R9","0R","SMD-0805",29.4005,22.8600,0.0000,bottom
"R10","10k","SMD-0805",22.8600,23.1140,0.0000,bottom
"U1","AS3935","MLPQ-16",16.5100,15.7480,0.0000,bottom
